word,R,G,B
countenance,170,170,170
counteract,137,124,52
counterbalance,128,128,128
counterclaim,79,79,79
counterpart,32,84,32
countess,128,0,128
countless,128,128,128
country,34,139,34
county,133,98,73
coup,156,23,23
couple,142,177,227
coupon,128,128,128
courage,255,140,0
courageous,220,20,20
courier,191,171,64
coursing,179,44,19
court,133,98,73
courteous,255,215,0
courtship,255,105,180
courtyard,81,133,81
cove,30,100,200
covenant,255,255,255
cover,142,142,142
covert,128,128,128
covet,34,139,34
cow,139,69,19
coward,255,215,0
cowardice,255,215,0
cowardly,255,215,0
cowboy,139,69,19
cowhide,139,69,19
cowl,255,140,0
coy,212,149,102
coyote,139,69,19
crab,220,20,20
crack,30,30,30
cracked,220,20,20
cracker,255,255,255
cradle,255,255,255
craft,82,109,95
craig,220,20,20
crammed,139,69,19
cramp,220,20,20
cramped,84,49,24
crane,170,157,85
cranium,255,255,255
crank,255,255,255
crap,139,69,19
craps,128,128,128
crash,172,22,22
crate,128,128,128
crater,139,69,19
crave,191,70,64
crawl,174,150,134
craze,128,128,128
crazed,220,20,20
creaking,102,56,22
cream,255,255,255
creamer,255,255,255
creamy,255,255,255
crease,255,140,0
create,139,160,54
creation,144,177,17
creative,255,140,0
creature,85,76,25
credence,255,215,0
credential,255,255,255
credentials,128,128,128
credibility,144,197,144
credible,126,40,116
credited,34,139,34
creditor,34,139,34
creed,128,64,128
creek,30,100,200
creeping,86,104,26
cremation,220,20,20
crevice,139,69,19
crew,30,100,200
crime,62,62,62
criminal,62,62,62
criminality,105,66,20
crimp,30,30,30
crimson,220,20,20
cringe,128,128,128
crippled,141,118,101
crisis,220,20,20
crisp,255,235,127
criterion,139,69,19
critic,158,92,92
criticize,179,44,19
critique,169,86,57
critter,133,98,73
croak,34,139,34
crock,139,69,19
crockery,125,25,25
crocodile,34,139,34
crook,137,81,52
crop,86,104,26
croquet,34,139,34
cross,255,255,255
crossed,139,69,19
crossing,30,100,200
crotch,255,105,180
crouch,99,75,59
crouched,139,69,19
crouching,197,142,9
croupier,30,30,30
crow,168,88,16
crowd,128,0,128
crowded,125,25,25
cruciate,220,20,20
crucifixion,156,23,23
crude,133,98,73
cruel,106,26,26
cruelly,30,30,30
cruelty,30,30,30
cruise,255,255,255
cruiser,128,128,128
crumb,139,69,19
crumbling,133,98,73
crunch,179,44,19
crusade,220,20,20
crush,237,80,10
crust,139,69,19
crusty,139,69,19
crux,204,101,13
cry,255,105,180
crypt,99,75,59
cryptic,128,128,128
cryptography,137,124,52
crystal,255,255,255
crystalline,255,255,255
crystallization,255,255,255
cube,30,100,200
cuckoo,255,215,0
cue,255,255,255
cuff,142,142,142
cull,139,69,19
culminate,96,131,96
culmination,30,100,200
culpability,128,128,128
culpable,32,84,32
culprit,30,30,30
cult,30,30,30
cultivate,33,129,75
cultivated,255,255,255
cultivation,69,115,29
culture,34,139,34
culvert,128,128,128
cumbersome,145,57,36
cumulus,255,255,255
cunning,191,107,64
cup,255,255,255
cupboard,139,69,19
cur,84,49,24
curable,220,20,20
curate,128,128,128
curative,34,139,34
curb,255,215,0
curd,255,255,255
curfew,30,30,30
curiosity,181,166,156
curl,172,134,54
currency,34,139,34
current,30,100,200
curry,197,104,9
curse,30,30,30
cursed,30,30,30
cursing,139,69,19
cursory,128,128,128
curtail,30,30,30
curtailment,128,128,128
curtain,191,191,191
curvature,139,69,19
curve,191,191,191
curvilinear,255,255,255
cushion,137,144,160
cusp,197,142,9
custodian,139,69,19
custody,96,131,96
custom,255,255,255
customer,255,255,255
cut,220,20,20
cute,255,105,180
cuticle,255,180,217
cutlery,128,128,128
cutter,170,127,170
cutters,220,20,20
cutthroat,220,20,20
cutting,220,20,20
cycle,255,235,127
cyclical,255,215,0
cyclone,128,128,128
cylindrical,139,69,19
cynic,30,30,30
cyst,30,30,30
cytomegalovirus,34,139,34
czar,126,16,59
dab,255,255,255
dabbling,255,105,180
dad,255,255,255
daemon,220,20,20
daft,255,215,0
dagger,93,26,26
daily,229,213,127
dainty,255,105,180
dairy,255,255,255
dak,255,255,255
dale,34,139,34
dam,128,128,128
damage,125,25,25
dame,212,70,162
damn,93,26,26
damnation,220,20,20
damned,30,30,30
damp,142,102,190
dampened,128,128,128
damper,128,128,128
damsel,255,105,180
dandruff,255,255,255
dandy,255,105,180
dangerous,220,20,20
dangle,128,128,128
dank,30,30,30
dare,220,20,20
daring,237,117,10
dark,30,30,30
darken,30,30,30
darkened,30,30,30
darkly,30,30,30
darkness,30,30,30
darling,255,105,180
dart,220,20,20
dash,255,215,0
dashed,142,122,15
dashing,220,20,20
dastardly,30,30,30
data,79,79,79
database,191,191,191
date,30,30,30
daughter,255,105,180
dawn,255,215,0
day,255,215,0
daybreak,191,107,64
daze,255,215,0
dazed,128,128,128
dazzling,255,215,0
deacon,142,142,142
deactivate,128,128,128
deadlock,30,30,30
deadly,68,28,28
deaf,82,91,52
deal,34,139,34
dealing,34,139,34
dear,255,105,180
dearth,139,69,19
death,30,30,30
debacle,93,26,26
debatable,95,95,95
debate,67,79,27
debauchery,156,23,23
debenture,34,139,34
debit,220,20,20
debris,102,56,22
debt,220,20,20
debtor,34,139,34
decade,95,52,95
decay,99,75,59
decayed,51,37,27
deceased,30,30,30
deceit,30,30,30
deceitful,79,15,79
deceive,106,62,72
deceived,220,20,20
deceiving,128,128,128
decency,255,255,255
decent,255,255,255
deception,31,66,31
deceptive,30,30,30
deciduous,34,139,34
decimal,62,62,62
decipher,30,100,200
decision,30,30,30
decisive,220,20,20
deck,220,20,20
declaration,255,255,255
declare,128,128,128
declination,197,142,9
decline,128,128,128
declining,79,79,79
decompose,139,69,19
decomposed,84,49,24
decomposition,84,49,24
decorate,128,0,128
decoration,34,139,34
decorum,255,255,255
decoy,133,98,73
decrease,64,99,64
decreased,128,128,128
decree,105,105,105
decrement,79,114,164
decrepit,138,110,44
dedication,34,139,34
deduct,127,79,27
deduction,34,139,34
deed,212,199,127
deepen,30,30,30
deer,139,69,19
defamation,30,30,30
defamatory,30,30,30
default,79,79,79
defeat,128,128,128
defeated,30,30,30
defect,133,98,73
defective,30,30,30
defend,142,142,142
defendant,30,30,30
defended,79,50,164
defender,84,84,109
defending,128,128,128
defense,133,98,73
defenseless,142,67,105
defensible,30,30,30
defensive,220,20,20
defer,255,105,180
deference,255,255,255
deferral,128,128,128
defiance,137,124,52
deficiency,99,75,59
deficit,125,25,25
define,142,142,142
definition,142,142,142
definitive,255,255,255
deflate,128,128,128
deflation,139,69,19
deflect,79,114,164
deflection,79,114,164
defloration,255,105,180
deform,139,69,19
deformed,30,30,30
deformity,95,53,23
defraud,30,30,30
defray,34,139,34
deft,128,0,128
defunct,128,128,128
defy,220,20,20
degeneracy,30,30,30
degenerate,220,20,20
degradation,128,128,128
degrade,62,86,119
degrading,30,65,115
degree,34,139,34
dehydrated,139,69,19
delay,79,79,79
delayed,128,128,128
delectable,34,139,34
delegate,139,174,139
delegation,139,69,19
deleterious,93,26,26
deletion,30,30,30
deliberate,133,133,133
deliberation,84,49,24
deliberative,128,128,128
delicacy,255,105,180
delight,255,215,0
delighted,255,140,0
delightful,255,105,180
delineate,255,255,255
delirious,191,70,64
deliverance,255,255,255
delivery,133,34,73
dell,34,139,34
delta,84,84,109
deluge,30,100,200
delusion,128,64,128
delusional,255,140,0
delve,139,69,19
demand,179,44,19
demanding,128,0,128
demeanor,30,100,200
demented,30,30,30
dementia,191,134,64
demise,30,30,30
democracy,34,139,34
democrat,34,139,34
demolish,84,49,24
demolition,30,30,30
demon,125,25,25
demonic,220,20,20
demonstrable,128,128,128
demonstrated,34,139,34
demonstration,255,177,0
demonstrative,185,48,86
demonstrator,255,255,255
demoralized,34,139,34
den,120,62,20
denied,79,114,164
denomination,32,84,32
denominational,255,255,255
denominator,81,133,81
denote,255,255,255
denounce,144,24,24
dense,139,69,19
dent,166,52,19
denunciation,66,43,26
deny,89,35,25
denying,30,30,30
deodorant,255,255,255
depart,212,174,127
departed,79,15,79
department,30,30,30
departure,81,133,81
depend,141,128,73
dependency,128,128,128
dependent,139,69,19
depict,128,0,128
depicting,30,100,200
depletion,30,30,30
deplorable,125,25,25
deplore,30,30,30
deploy,139,69,19
deport,128,128,128
deportation,64,99,64
deposit,139,69,19
depositary,34,139,34
depraved,30,100,200
depravity,79,15,79
depreciate,116,67,53
depreciated,220,20,20
depress,48,71,113
depressed,79,114,164
depressing,30,65,115
depression,84,49,24
depressive,128,128,128
depth,30,100,200
deputy,109,91,91
derail,128,128,128
deranged,125,25,25
derision,255,140,0
derivation,128,128,128
derivative,128,128,128
dermal,255,255,255
dermatologist,255,255,255
derogation,128,128,128
derogatory,62,62,62
descend,128,128,128
descending,128,128,128
descent,79,79,79
describe,191,191,191
description,62,109,176
desecration,30,30,30
deserted,128,128,128
desertion,142,122,15
deserve,128,128,128
deserving,30,100,200
design,191,127,191
designed,255,255,255
designer,128,0,128
desirability,255,105,180
desirable,220,20,20
desirous,220,20,20
desist,168,63,16
desk,139,69,19
desolation,66,43,26
despair,30,30,30
despatch,237,137,137
desperate,30,30,30
despicable,30,30,30
despise,220,20,20
despotic,30,30,30
despotism,93,26,26
destination,142,177,227
destined,191,127,191
destiny,255,255,255
destroyed,93,26,26
destroyer,125,25,25
destroying,30,30,30
destruction,93,26,26
destructive,125,25,25
detach,30,30,30
detachment,79,79,79
detail,142,142,142
details,255,255,255
detain,128,128,128
detect,34,139,34
detective,30,100,200
detector,30,30,30
detention,191,134,64
deter,139,69,19
detergent,142,177,227
deteriorate,30,30,30
deteriorated,30,30,30
deterioration,30,30,30
determinable,220,20,20
determinate,75,103,143
determination,220,20,20
determined,30,100,200
detest,30,30,30
detonate,220,20,20
detonation,220,20,20
detour,177,157,72
detract,139,69,19
detriment,139,69,19
detrimental,125,25,25
detritus,197,104,9
deuce,34,139,34
devastate,30,30,30
devastating,30,30,30
devastation,30,30,30
develop,144,139,17
development,34,139,34
deviate,128,64,128
deviating,128,128,128
deviation,144,139,17
device,212,212,212
devil,220,20,20
devilish,220,20,20
devious,79,79,79
devise,30,30,30
devoid,128,128,128
devolution,84,49,24
devotee,133,34,73
devotional,255,255,255
devour,139,69,19
devout,255,255,255
dew,255,255,255
dexter,30,100,200
dexterity,255,105,180
dextrose,255,255,255
diabolical,30,30,30
diagnosis,220,20,20
diagnostic,128,64,128
diagram,30,30,30
dial,255,255,255
dialect,255,255,255
dialectic,142,122,15
dialogue,191,191,191
diameter,30,30,30
diamond,255,255,255
diamonds,255,255,255
diaper,255,255,255
diaphragm,255,105,180
diarrhoea,139,69,19
diary,255,105,180
diatribe,30,30,30
dice,255,255,255
dichotomy,139,69,19
dictator,125,25,25
dictatorship,125,25,25
diction,255,255,255
dictionary,212,170,212
dictum,142,122,15
didactic,197,142,9
die,84,49,24
diet,34,139,34
dietary,32,119,117
differ,30,30,30
difference,128,128,128
differential,86,104,26
differentiation,128,128,128
difficult,128,128,128
difficulties,128,128,128
difficulty,30,30,30
diffuse,128,128,128
diffusion,191,191,191
dig,139,69,19
digest,255,140,0
digit,30,30,30
dignity,30,100,200
digress,133,98,73
dike,139,69,19
dilapidated,128,128,128
dilation,105,91,20
diligence,191,70,64
diluent,30,100,200
dilute,144,197,144
diluted,255,255,255
dilution,128,128,128
dimension,30,100,200
diminish,128,128,128
diminution,128,128,128
diminutive,255,105,180
dinosaur,34,139,34
dint,139,69,19
diocesan,34,139,34
diocese,255,255,255
diorama,139,131,139
dip,30,100,200
diplomacy,30,100,200
diplomatic,128,128,128
dire,30,30,30
directed,255,215,0
direction,106,103,21
directly,255,140,0
director,30,30,30
directory,255,235,127
dirt,139,69,19
dirty,139,69,19
disability,79,114,164
disable,152,103,95
disabled,30,100,200
disagree,30,100,200
disagreeing,125,25,25
disagreement,126,59,59
disallow,139,69,19
disappear,191,191,191
disappearing,255,255,255
disappoint,128,128,128
disappointed,30,30,30
disappointing,128,128,128
disappointment,30,30,30
disapprove,30,30,30
disapproved,30,30,30
disapproving,30,30,30
disarm,142,142,142
disaster,30,30,30
disastrous,30,30,30
disband,129,63,79
disbelief,30,30,30
disbelieve,197,142,9
disburse,34,139,34
disbursement,34,139,34
disc,128,128,128
discards,128,128,128
discern,255,255,255
discernment,128,128,128
discharge,255,215,0
disciple,255,255,255
discipline,30,100,200
disclaim,89,35,25
disclaimer,30,30,30
disclose,191,191,191
discoloration,138,110,44
discolored,138,110,44
discomfort,30,53,86
disconnect,99,75,59
disconnected,128,128,128
disconnection,30,100,200
discontent,129,39,23
discontinuance,30,30,30
discontinue,125,25,25
discontinuity,128,128,128
discontinuous,64,99,64
discord,125,25,25
discount,91,117,26
discourage,91,77,67
discouraged,128,128,128
discouragement,99,75,59
discourse,34,139,34
discover,255,140,0
discovery,34,139,34
discredit,79,114,164
discrepancy,30,30,30
discrete,142,142,142
discretion,34,139,34
discretionary,81,133,81
discriminate,139,69,19
discriminating,255,255,255
discrimination,30,30,30
discus,142,122,15
discuss,64,122,120
discussion,137,118,194
disdain,66,43,26
disease,30,30,30
diseased,30,30,30
disembodied,30,30,30
disengage,128,128,128
disfigured,220,20,20
disgrace,30,30,30
disgraced,79,79,79
disgraceful,177,117,12
disgruntled,220,20,20
disguise,30,30,30
disguised,34,139,34
disgust,89,70,26
disgusting,159,56,19
dish,255,255,255
disheartening,30,30,30
dishonest,105,91,20
dishonesty,30,30,30
dishonor,67,67,67
disillusionment,139,69,19
disinfect,255,255,255
disinfectant,255,235,127
disinfection,142,177,227
disinformation,255,215,0
disingenuous,142,122,15
disintegrate,197,162,137
disintegration,103,103,103
disinterested,139,69,19
disjointed,30,30,30
disjunctive,139,69,19
disk,255,255,255
diskette,30,30,30
dislike,73,49,27
disliked,30,65,115
dislocated,128,128,128
dislocation,139,135,54
dislodge,141,118,101
dismal,79,79,79
dismay,30,30,30
dismemberment,30,30,30
dismiss,30,30,30
dismissal,191,116,154
dismount,139,69,19
disobedience,30,30,30
disobedient,220,20,20
disobey,95,52,95
disorder,168,63,16
disorderly,135,88,55
disorganized,255,140,0
disparage,99,75,59
disparaging,79,79,79
disparate,135,93,71
disparity,116,94,41
dispassionate,133,98,73
dispel,220,20,20
dispense,133,98,73
disperse,128,128,128
dispersed,255,140,0
dispersion,255,122,90
displace,136,114,61
displaced,128,128,128
displacement,128,128,128
display,158,76,108
displeased,220,20,20
displeasure,34,139,34
disposal,255,215,0
dispose,133,98,73
disposed,34,139,34
dispossessed,128,128,128
disprove,255,255,255
dispute,30,30,30
disqualification,125,25,25
disqualified,189,56,56
disqualify,30,30,30
disreputable,99,75,59
disrepute,30,30,30
disrespect,84,49,24
disrespectful,139,69,19
disruption,255,215,0
dissatisfaction,30,30,30
dissect,86,104,26
dissection,30,30,30
dissension,190,82,12
dissertation,30,30,30
disservice,102,56,22
dissident,220,20,20
dissimilar,139,135,54
dissipate,128,128,128
dissipated,128,128,128
dissociation,128,128,128
dissolution,79,79,79
dissolve,30,76,143
dissonance,79,15,79
dissuade,255,140,0
distal,30,30,30
distance,255,105,180
distant,128,128,128
distaste,106,141,106
distillate,139,69,19
distinguished,255,255,255
distortion,182,132,132
distract,139,69,19
distracted,174,74,74
distracting,220,20,20
distraction,34,139,34
distraught,30,30,30
distress,237,80,10
distressed,220,20,20
distressing,128,128,128
distribute,255,255,255
distribution,127,79,27
district,34,139,34
distrust,30,30,30
disturbance,163,43,43
disturbed,174,74,74
disuse,81,133,81
disused,128,128,128
ditch,139,69,19
ditto,128,0,128
ditty,142,157,100
diurnal,128,128,128
divan,133,34,73
dive,30,100,200
diver,30,100,200
diverge,128,128,128
divergence,128,128,128
divergent,30,30,30
divers,32,119,117
diverse,128,128,128
diversified,34,139,34
diversion,255,140,0
diversity,255,140,0
divert,191,181,127
diverting,255,215,0
divest,127,95,60
divested,34,139,34
divestment,220,20,20
divide,220,20,20
dividend,34,139,34
divination,191,127,191
divine,255,255,255
divinity,255,255,255
divisible,128,128,128
divisor,128,128,128
divorce,30,30,30
dizziness,255,140,0
dizzy,255,215,0
docile,255,105,180
dock,139,69,19
docked,30,30,30
docket,141,127,117
doctor,255,255,255
doctrine,255,255,255
document,142,142,142
documentary,128,128,128
dodge,255,140,0
dodging,139,69,19
doe,86,104,26
dog,139,69,19
dogged,79,114,164
dogma,30,100,200
doings,237,80,10
dole,81,133,81
doll,255,155,205
dollar,34,139,34
dolor,30,30,30
dolphin,128,128,128
domain,139,69,19
dome,191,191,191
domestic,30,30,30
domesticated,142,157,100
domestication,30,100,200
domicile,255,105,180
domiciled,86,104,26
dominance,220,20,20
dominant,93,26,26
dominate,237,117,10
dominating,125,25,25
domination,126,16,59
dominion,255,255,255
domino,255,255,255
don,137,95,137
donation,34,139,34
donkey,133,98,73
doodle,255,215,0
doom,30,30,30
doomed,30,30,30
doomsday,62,62,62
door,139,69,19
doorway,139,69,19
dormant,84,49,24
dormitory,139,69,19
dorsal,79,114,164
dose,184,184,184
dot,106,26,26
double,144,139,17
doubling,255,160,90
doubt,128,128,128
doubtful,79,114,164
doubtless,255,105,180
douche,142,177,227
dough,255,255,255
doughnut,139,69,19
dour,128,128,128
dove,255,255,255
downfall,30,30,30
downhill,139,69,19
downpour,79,114,164
downright,128,0,128
downy,255,255,255
doze,34,139,34
dozen,255,255,255
drab,131,108,91
draft,31,113,144
drag,139,69,19
dragon,127,79,27
drain,255,215,0
drainage,155,59,19
drained,128,128,128
drama,128,0,128
dramatic,255,105,180
drape,220,20,20
drawback,133,98,73
drawer,139,69,19
drawers,255,255,255
drawing,79,79,79
dread,139,69,19
dreadful,84,49,24
dream,128,0,128
dreamer,30,100,200
dreamy,220,20,20
dreary,128,128,128
dredge,84,49,24
dresser,139,69,19
dribble,30,100,200
dried,139,69,19
drier,191,191,191
drill,126,86,86
drink,102,79,79
drip,142,177,227
dripping,30,100,200
drivel,34,139,34
driver,30,100,200
driveway,128,128,128
drone,197,142,9
drool,255,255,255
drooping,135,88,55
drop,142,157,100
droplet,30,100,200
drought,139,69,19
drove,139,69,19
drown,30,100,200
drowsiness,30,30,30
drowsy,95,118,152
drudgery,30,30,30
drug,255,255,255
drugged,30,30,30
drugstore,181,203,96
drum,128,128,128
drummer,255,140,0
drumming,139,69,19
drunken,30,65,115
drunkenness,125,25,25
dry,139,69,19
dryness,139,69,19
dual,30,100,200
dualism,133,98,73
duct,128,128,128
ductile,128,128,128
due,144,139,17
duel,220,20,20
dues,34,139,34
dugout,139,69,19
duke,128,0,128
dull,128,128,128
dumb,191,171,64
dummy,255,140,0
dump,133,98,73
dumps,30,100,200
dun,34,139,34
dune,139,69,19
dung,139,69,19
dungeon,62,62,62
duplex,30,100,200
duplicate,30,65,115
duplication,30,100,200
duplicity,30,30,30
durability,32,84,32
durable,142,177,227
duress,30,30,30
dusk,79,79,79
dusky,128,128,128
dust,133,98,73
duster,128,128,128
dusty,128,128,128
dwarf,134,92,62
dwell,133,98,73
dweller,34,139,34
dwelling,139,69,19
dye,174,10,74
dying,30,30,30
dyke,139,69,19
dynamic,128,0,128
dynamics,220,20,20
dynamite,220,20,20
dynasty,128,0,128
dysentery,139,69,19
eager,158,59,24
eagerness,191,52,154
eagle,165,130,105
ear,255,105,180
earl,128,0,128
early,255,215,0
earn,34,139,34
earnestly,30,30,30
earnestness,34,139,34
earshot,255,215,0
earth,104,92,24
earthenware,139,69,19
earthly,139,69,19
earthquake,139,69,19
earthy,34,139,34
easel,177,131,97
easement,139,69,19
easygoing,255,215,0
eat,181,178,96
eating,34,139,34
eavesdropping,95,118,152
ebb,30,100,200
ebony,30,30,30
ecclesiastical,255,255,255
echo,128,128,128
eclectic,128,0,128
eclipse,30,30,30
ecliptic,30,100,200
economical,139,69,19
economics,34,139,34
economy,142,122,15
ecstasy,220,20,20
ecstatic,201,91,134
ecumenical,34,139,34
eddy,30,100,200
edge,125,25,25
edging,139,174,139
edible,144,139,17
edict,139,69,19
edification,120,169,188
edit,30,30,30
editor,128,128,128
editorial,30,30,30
educate,30,100,200
educated,81,69,81
educational,107,177,107
eel,128,128,128
effect,34,139,34
effective,142,157,100
effeminate,212,70,162
efficacious,220,20,20
efficiency,255,255,255
efficient,120,169,188
effigy,128,128,128
effort,34,139,34
effusion,220,20,20
egg,255,228,85
ego,30,100,200
egotistical,79,15,79
egregious,203,124,10
egress,139,69,19
eighty,191,134,64
ejaculate,255,255,255
ejaculation,255,255,255
eject,168,86,73
ejection,34,139,34
elaborate,255,255,255
elaboration,128,0,128
elan,255,215,0
elapse,30,100,200
elapsed,128,128,128
elastic,220,20,20
elated,255,215,0
elbow,198,123,161
elder,130,81,100
elders,128,128,128
eldest,128,128,128
electorate,32,119,117
electric,128,128,128
electricity,255,215,0
elegance,191,127,191
elegant,255,255,255
element,139,174,139
elementary,255,255,255
elements,30,100,200
elephant,128,128,128
elevate,30,100,200
eleventh,255,255,255
elf,107,127,82
elicit,191,171,64
elimination,162,72,55
elite,135,88,177
elk,139,69,19
ellipsis,128,128,128
ellipsoid,30,30,30
elliptic,255,215,0
elliptical,255,255,255
elongation,30,30,30
elucidate,255,140,0
elucidation,255,255,255
elude,34,139,34
elusive,126,82,116
emaciated,128,128,128
emanate,197,162,137
emancipation,255,235,127
embankment,139,69,19
embarrass,220,20,20
embarrassing,220,20,20
embarrassment,220,20,20
embassy,32,119,117
embed,30,100,200
embellish,128,0,128
embellishment,128,0,128
embers,220,20,20
emblem,34,139,34
emblematic,255,140,0
embodiment,191,191,191
embolism,189,56,56
embossed,30,30,30
embrace,255,105,180
embroidered,255,105,180
embroidery,255,255,255
embryo,255,105,180
embryonic,191,107,64
emerald,144,177,17
emerge,30,30,30
emergence,34,139,34
emergency,220,20,20
emeritus,34,139,34
emigrate,34,139,34
emigration,86,104,26
eminence,191,127,191
eminent,30,100,200
emir,174,10,74
emission,139,69,19
emotion,220,20,20
emotive,142,67,105
empathy,128,0,128
emperor,191,107,64
emphasis,220,20,20
emphasize,220,20,20
emphatic,174,10,74
empirical,30,100,200
employ,96,152,130
employer,139,69,19
employment,100,112,60
emporium,34,139,34
empower,134,99,63
empress,128,0,128
emptiness,79,79,79
emption,34,139,34
empty,128,128,128
emulate,139,135,54
enable,30,100,200
enactment,30,30,30
enamel,255,255,255
encampment,139,69,19
enchant,30,100,200
enchanted,255,105,180
enchantment,128,0,128
encircle,255,197,127
encircling,128,128,128
enclave,104,92,24
encode,81,133,81
encompass,30,100,200
encore,34,139,34
encourage,34,139,34
encouragement,255,255,255
encroachment,79,79,79
encrypt,128,128,128
encyclopedia,102,79,79
end,255,105,180
endanger,30,30,30
endeavor,34,139,34
endemic,34,139,34
ending,30,30,30
endless,75,96,75
endow,34,139,34
endowed,255,105,180
endowment,237,137,137
endpoint,255,215,0
endurance,220,20,20
endure,255,255,255
enema,255,255,255
enemy,125,25,25
energetic,237,137,137
energy,255,140,0
enforce,30,65,115
engaged,255,255,255
engagement,255,255,255
engineer,95,95,95
engineering,34,139,34
engrave,103,103,103
engraved,255,105,180
engraver,128,128,128
engraving,128,128,128
engrossed,34,139,34
engulf,30,100,200
enhance,34,139,34
enigmatic,128,128,128
enjoy,255,160,90
enlarged,128,0,128
enlargement,255,197,127
enlighten,255,215,0
enlightenment,255,255,255
enlist,128,128,128
enliven,158,93,122
enmity,156,23,23
enormity,79,15,79
enormous,30,100,200
enrich,30,100,200
ensemble,255,255,255
ensign,142,177,227
enslaved,30,30,30
enslavement,30,30,30
ensue,87,113,87
entangled,139,69,19
entanglement,128,0,128
enter,255,197,127
enterprise,34,139,34
entertain,30,100,200
entertained,255,140,0
enthusiasm,255,105,180
entice,237,62,100
entire,167,184,209
entirety,30,100,200
entitle,34,139,34
entity,191,191,191
entomology,139,69,19
entrails,220,20,20
entree,34,139,34
entrepreneur,142,122,15
entry,144,197,144
enumerate,181,178,96
envelope,191,191,191
envious,34,139,34
environment,34,139,34
environs,34,139,34
envoy,142,177,227
ephemeral,128,128,128
ephemeris,191,191,191
epidemic,125,25,25
epidermis,255,105,180
epilepsy,34,139,34
epistle,255,255,255
epitaph,30,30,30
epithet,255,255,255
epitome,255,255,255
epoch,30,100,200
equal,128,128,128
equality,255,255,255
equalization,255,255,255
equalize,255,255,255
equally,79,114,164
equate,34,139,34
equation,191,191,191
equator,32,119,117
equatorial,30,100,200
equestrian,139,69,19
equidistant,128,128,128
equilibrium,255,255,255
equipment,191,171,64
equity,34,139,34
equivalent,196,208,224
equivocal,96,131,96
era,30,100,200
eradicate,30,30,30
eradication,84,49,24
erase,255,255,255
ere,128,128,128
ergo,30,30,30
erode,139,69,19
erosion,139,69,19
erotic,255,105,180
err,30,30,30
errand,34,139,34
errant,30,100,200
erratic,241,92,8
erratum,128,128,128
error,102,52,52
erst,128,128,128
erupt,220,20,20
eruption,220,20,20
escalade,86,104,26
escalator,128,128,128
escape,30,100,200
escaped,34,139,34
escarpment,139,69,19
eschew,84,49,24
escort,30,100,200
esoteric,30,30,30
espionage,79,79,79
espouse,142,142,142
essay,142,177,227
essayist,255,255,255
essence,128,0,128
establish,139,131,139
established,255,255,255
establishment,191,134,64
estate,144,197,144
esteem,255,215,0
esthetic,34,139,34
estimate,255,215,0
estimation,128,128,128
estoppel,255,255,255
estranged,67,79,27
estuary,30,100,200
etch,79,79,79
etching,128,128,128
ethanol,255,215,0
ether,223,191,223
ethical,255,255,255
ethics,255,255,255
ethnography,139,69,19
etiology,32,119,117
euchre,34,139,34
euthanasia,30,30,30
evacuate,34,139,34
evacuation,166,52,19
evade,103,103,103
evaluate,255,215,0
evanescence,128,128,128
evangelical,255,255,255
evangelist,255,255,255
evangelistic,255,255,255
evaporation,255,255,255
evasion,128,128,128
evening,30,100,200
eventful,255,122,90
eventual,255,140,0
eventuality,191,171,64
evergreen,34,139,34
everyday,128,85,128
eviction,125,25,25
evidence,128,128,128
evident,191,191,191
evil,31,57,31
evolution,142,177,227
evolve,34,139,34
ewe,197,162,137
exacerbate,30,65,115
exacerbation,30,30,30
exacting,144,197,144
exaggerated,237,80,10
exaggeration,128,0,128
exalt,255,255,255
exaltation,255,255,255
exalted,255,255,255
exam,191,191,191
examination,128,128,128
examine,255,255,255
examiner,139,69,19
exasperation,220,20,20
excavation,197,142,9
excavator,139,69,19
exceed,153,102,63
exceeding,220,20,20
excel,255,215,0
excellence,212,156,127
excellent,79,50,164
exception,128,128,128
excerpt,255,140,0
excess,159,125,45
excessive,106,103,21
excessively,174,10,74
exchange,255,140,0
excise,255,255,255
excitability,255,215,0
excitation,220,20,20
excite,237,80,10
excitement,255,140,0
exclaim,220,20,20
excluded,30,30,30
excluding,125,25,25
exclusion,62,62,62
excrement,139,69,19
excretion,255,215,0
excruciating,220,20,20
excursion,255,255,255
excuse,103,79,53
execution,30,30,30
executioner,30,30,30
executive,170,170,170
exemplary,30,100,200
exemplify,255,255,255
exempt,255,215,0
exemption,128,128,128
exercise,128,128,128
exert,125,60,110
exertion,174,74,74
exhale,255,255,255
exhaust,128,128,128
exhausted,133,98,73
exhaustion,62,62,62
exhaustive,30,100,200
exhibit,191,127,191
exhibition,128,128,128
exigent,174,74,74
exile,75,75,75
exist,255,255,255
existent,128,128,128
existing,34,139,34
exit,189,56,56
exodus,139,69,19
exorbitant,139,69,19
exorcism,30,30,30
exorcist,30,30,30
exotic,128,0,128
expand,237,117,10
expanded,255,255,255
expanse,255,215,0
expansion,255,255,255
expectancy,30,100,200
expectant,255,140,0
expectation,139,69,19
expected,255,140,0
expedient,184,167,116
expedite,128,0,128
expedition,98,132,57
expel,128,128,128
expenditure,34,139,34
expenses,220,20,20
expensive,128,0,128
experience,255,215,0
experienced,255,255,255
experiences,255,255,255
experiment,255,215,0
experimental,142,122,15
experimenter,34,139,34
expert,191,70,64
expiration,79,79,79
expire,54,54,54
expired,84,49,24
expiry,30,30,30
